Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",122.400000,-40.337500,90.000000,top
"C2","4.7uF/16V","CP_EIA-3216-10_Kemet-I",119.200000,-40.400000,90.000000,top
"C3","0.1uF","C_0805_2012Metric",56.400000,-78.500000,180.000000,top
"C4","4.7uF/16V","CP_EIA-3216-10_Kemet-I",56.400000,-75.100000,180.000000,top
"C5","4.7nF","C_0805_2012Metric",63.600000,-61.700000,0.000000,top
"C6","0.1uF","C_0805_2012Metric",52.900000,-53.800000,90.000000,top
"C7","10uF","C_0805_2012Metric",49.500000,-53.800000,90.000000,top
"C8","0.1uF","C_0805_2012Metric",115.137500,-38.000000,0.000000,top
"C9","0.1uF","C_0805_2012Metric",119.100000,-28.900000,180.000000,top
"C10","0.1uF","C_0805_2012Metric",55.000000,-71.500000,270.000000,top
"C11","10uF/16V","CP_EIA-3216-10_Kemet-I",103.400000,-47.700000,270.000000,top
"C12","0.1uF","C_0805_2012Metric",110.400000,-57.300000,0.000000,top
"C13","0.1uF","C_0805_2012Metric",103.400000,-42.900000,270.000000,top
"C14","22uF/16V","CP_EIA-6032-28_Kemet-C",108.700000,-52.800000,0.000000,top
"C15","4.7uF/16V","CP_EIA-3216-10_Kemet-I",103.700000,-38.300000,90.000000,top
"C16","4.7uF/16V","CP_EIA-3216-10_Kemet-I",109.800000,-38.000000,0.000000,top
"C17","0.1uF","C_0805_2012Metric",124.300000,-58.400000,90.000000,top
"C18","0.1uF","C_0805_2012Metric",97.300000,-58.400000,90.000000,top
"C19","0.1uF","C_0805_2012Metric",128.100000,-58.300000,90.000000,top
"C20","0.1uF","C_0805_2012Metric",101.000000,-58.362500,90.000000,top
"C21","0.1uF","C_0805_2012Metric",152.300000,-58.600000,90.000000,top
"C22","0.1uF","C_0805_2012Metric",155.800000,-58.600000,90.000000,top
"D1","LED_ALT","LED_0805_2012Metric_Castellated",50.200000,-49.600000,180.000000,top
"D2","LED_ALT","LED_0805_2012Metric_Castellated",50.200000,-45.000000,180.000000,top
"D3","PRTR5V0U2X","SOT-143",63.600000,-65.800000,270.000000,top
"L1","100uH","L_12x12mm_H8mm",109.000000,-28.400000,90.000000,top
"Q1","MMBT3904","SOT-23",119.100000,-33.700000,0.000000,top
"Q2","MMBT3904","SOT-23",84.500000,-62.800000,0.000000,top
"R1","560","R_0805_2012Metric",78.100000,-60.800000,0.000000,top
"R2","560","R_0805_2012Metric",78.100000,-58.600000,0.000000,top
"R3","10K","R_0805_2012Metric",72.600000,-70.500000,180.000000,top
"R4","22.1K","R_0805_2012Metric",77.500000,-67.100000,0.000000,top
"R5","1K","R_0805_2012Metric",55.500000,-49.600000,180.000000,top
"R6","1K","R_0805_2012Metric",55.500000,-45.000000,180.000000,top
"R7","1M","R_0805_2012Metric",63.600000,-58.100000,180.000000,top
"R8","5.1K","R_0805_2012Metric",58.300000,-65.600000,0.000000,top
"R9","5.1K","R_0805_2012Metric",58.300000,-61.500000,0.000000,top
"R10","560","R_0805_2012Metric",122.300000,-33.700000,270.000000,top
"R11","560","R_0805_2012Metric",78.000000,-63.737500,90.000000,top
"R12","10K","R_0805_2012Metric",115.100000,-41.700000,180.000000,top
"R13","2.4K","R_0805_2012Metric",151.200000,-39.500000,180.000000,top
"R14","2.4K","R_0805_2012Metric",151.200000,-35.200000,180.000000,top
"R15","10K","R_0805_2012Metric",81.600000,-67.100000,0.000000,top
"R16","10K","R_0805_2012Metric",106.500000,-69.100000,90.000000,top
"R17","10K","R_0805_2012Metric",152.100000,-69.000000,90.000000,top
"R18","10K","R_0805_2012Metric",86.900000,-68.100000,0.000000,top
"R19","10K","R_0805_2012Metric",122.300000,-69.100000,90.000000,top
"R20","10K","R_0805_2012Metric",167.200000,-69.100000,90.000000,top
"R21","10K","R_0805_2012Metric",91.800000,-69.062500,90.000000,top
"R22","10K","R_0805_2012Metric",137.000000,-69.100000,90.000000,top
"R23","10K","R_0805_2012Metric",182.400000,-69.100000,90.000000,top
"R24","10K","R_0805_2012Metric",198.400000,-69.100000,90.000000,top
"R25","560","R_0805_2012Metric",155.600000,-30.200000,90.000000,top
"R26","560","R_0805_2012Metric",159.100000,-30.200000,90.000000,top
"SW1","SW_Push","SW_SPST_B3U-1000P",119.200000,-24.200000,0.000000,top
"SW2","SW_Push","SW_SPST_B3U-1000P",50.500000,-71.500000,90.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",137.800000,-41.200000,0.000000,top
"U2","CP2102N-A02-GQFN28R","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",70.900000,-64.720000,0.000000,top
"U3","AZ1117-3.3","SOT-223-3_TabPin2",108.600000,-45.100000,270.000000,top
"U4","ADS1115IDGS","TSSOP-10_3x3mm_P0.5mm",126.200000,-63.700000,0.000000,top
"U5","ADS1115IDGS","TSSOP-10_3x3mm_P0.5mm",99.200000,-63.700000,0.000000,top
"U6","ADS1115IDGS","TSSOP-10_3x3mm_P0.5mm",154.100000,-63.700000,0.000000,top
