Ref,Val,Package,PosX,PosY,Rot,Side
"D1","SS34","D_SMC",75.900000,-79.300000,90.000000,top
"D2","SS34","D_SMC",123.100000,-79.200000,90.000000,top
"D3","SS34","D_SMC",103.200000,-79.300000,90.000000,top
"D4","SS34","D_SMC",150.400000,-79.200000,90.000000,top
"D5","SS34","D_SMC",171.100000,-79.200000,90.000000,top
"D6","SS34","D_SMC",218.500000,-79.200000,90.000000,top
"D7","SS34","D_SMC",198.400000,-79.200000,90.000000,top
"D8","SS34","D_SMC",244.800000,-79.200000,90.000000,top
"R1","1K","R_1206_3216Metric",82.100000,-81.700000,90.000000,top
"R2","1K","R_1206_3216Metric",129.300000,-81.700000,90.000000,top
"R3","100","R_1206_3216Metric",116.000000,-81.700000,90.000000,top
"R4","100","R_1206_3216Metric",161.400000,-81.700000,90.000000,top
"R5","1K","R_1206_3216Metric",109.400000,-81.700000,90.000000,top
"R6","1K","R_1206_3216Metric",156.600000,-81.800000,90.000000,top
"R7","100","R_1206_3216Metric",251.600000,-75.500000,180.000000,top
"R8","1K","R_1206_3216Metric",177.300000,-81.900000,90.000000,top
"R9","1K","R_1206_3216Metric",224.600000,-81.800000,90.000000,top
"R10","100","R_1206_3216Metric",210.400000,-81.900000,90.000000,top
"R11","1K","R_1206_3216Metric",204.600000,-81.800000,90.000000,top
"R12","1K","R_1206_3216Metric",251.000000,-81.800000,90.000000,top
"R13","560K","R_0805_2012Metric",109.900000,-76.100000,90.000000,top
"R14","560K","R_0805_2012Metric",162.262500,-74.300000,0.000000,top
"R15","560K","R_0805_2012Metric",253.500000,-82.100000,270.000000,top
"R16","560K","R_0805_2012Metric",204.600000,-75.900000,90.000000,top
